date,campaign_name,spend,clicks,impressions,conversions
2025-11-07,Brand Campaign,685.45,348,10486,23
2025-11-07,Product Launch,360.73,492,12921,25
2025-11-07,Retargeting,554.81,460,13083,28
2025-11-07,Black Friday Special,741.59,505,21746,18
2025-11-08,Brand Campaign,772.64,602,22383,28
2025-11-08,Product Launch,581.51,553,17068,42
2025-11-08,Retargeting,740.85,554,24370,20
2025-11-08,Black Friday Special,657.16,602,15235,27
2025-11-09,Brand Campaign,302.87,671,20264,44
2025-11-09,Product Launch,347.7,499,17991,21
2025-11-09,Retargeting,795.91,384,18580,20
2025-11-09,Black Friday Special,758.87,468,13712,31
2025-11-10,Brand Campaign,500.65,463,15054,33
2025-11-10,Product Launch,539.67,492,15765,24
2025-11-10,Retargeting,534.6,656,22047,46
2025-11-10,Black Friday Special,440.61,460,12625,16
2025-11-11,Brand Campaign,425.93,922,24364,69
2025-11-11,Product Launch,453.01,366,13281,26
2025-11-11,Retargeting,483.74,346,16378,16
2025-11-11,Black Friday Special,791.44,465,18868,22
2025-11-12,Brand Campaign,617.96,755,22277,50
2025-11-12,Product Launch,473.88,463,18323,15
2025-11-12,Retargeting,399.31,564,23465,34
2025-11-12,Black Friday Special,576.49,674,21146,29
2025-11-13,Brand Campaign,358.39,737,20475,46
2025-11-13,Product Launch,480.45,384,15275,12
2025-11-13,Retargeting,734.15,599,19152,25
2025-11-13,Black Friday Special,611.66,436,17017,21
2025-11-14,Brand Campaign,329.07,445,19676,22
2025-11-14,Product Launch,786.27,431,17057,32
2025-11-14,Retargeting,310.65,798,21394,26
2025-11-14,Black Friday Special,497.54,485,13511,28
2025-11-15,Brand Campaign,764.29,431,17174,15
2025-11-15,Product Launch,503.49,386,19091,24
2025-11-15,Retargeting,502.37,503,19058,25
2025-11-15,Black Friday Special,495.3,811,24171,36
2025-11-16,Brand Campaign,644.85,746,22103,38
2025-11-16,Product Launch,566.14,871,24817,55
2025-11-16,Retargeting,719.23,885,24378,70
2025-11-16,Black Friday Special,745.12,472,22623,26
2025-11-17,Brand Campaign,521.67,951,24326,64
2025-11-17,Product Launch,425.7,727,20714,46
2025-11-17,Retargeting,480.78,730,20892,52
2025-11-17,Black Friday Special,709.69,447,12285,24
2025-11-18,Brand Campaign,512.32,761,20619,29
2025-11-18,Product Launch,525.27,335,12265,20
2025-11-18,Retargeting,589.37,328,10569,12
2025-11-18,Black Friday Special,340.88,442,17194,21
2025-11-19,Brand Campaign,664.34,824,22159,25
2025-11-19,Product Launch,690.3,558,15216,33
2025-11-19,Retargeting,599.34,684,20412,27
2025-11-19,Black Friday Special,561.88,660,23735,25
2025-11-20,Brand Campaign,629.02,584,19835,32
2025-11-20,Product Launch,782.94,391,13497,25
2025-11-20,Retargeting,497.04,374,11068,12
2025-11-20,Black Friday Special,448.5,621,18040,42
2025-11-21,Brand Campaign,373.05,347,16971,26
2025-11-21,Product Launch,570.15,468,21174,20
2025-11-21,Retargeting,473.71,893,24203,68
2025-11-21,Black Friday Special,589.46,519,19602,28
2025-11-22,Brand Campaign,388.58,371,10333,19
2025-11-22,Product Launch,483.18,639,20426,49
2025-11-22,Retargeting,406.52,371,17692,19
2025-11-22,Black Friday Special,727.92,725,20688,56
2025-11-23,Brand Campaign,655.12,837,21257,62
2025-11-23,Product Launch,443.7,252,10996,18
2025-11-23,Retargeting,598.66,445,14753,29
2025-11-23,Black Friday Special,428.61,403,20057,32
2025-11-24,Brand Campaign,582.69,460,19655,16
2025-11-24,Product Launch,729.71,730,19763,29
2025-11-24,Retargeting,519.32,393,14427,15
2025-11-24,Black Friday Special,535.09,457,19224,30
2025-11-25,Brand Campaign,583.93,275,10437,9
2025-11-25,Product Launch,692.95,441,11253,21
2025-11-25,Retargeting,443.08,374,18221,16
2025-11-25,Black Friday Special,563.92,443,12515,15
