date,sessions,conversions,bounce_rate,source
2025-11-15,1849,73,0.4611,google
2025-11-15,842,40,0.5369,facebook
2025-11-15,2296,76,0.4796,direct
2025-11-15,740,24,0.4967,email
2025-11-15,607,29,0.5059,linkedin
2025-11-16,2853,114,0.5272,google
2025-11-16,1157,49,0.5145,facebook
2025-11-16,2223,87,0.4076,direct
2025-11-16,665,19,0.4211,email
2025-11-16,554,15,0.4685,linkedin
2025-11-17,2312,106,0.4521,google
2025-11-17,1597,77,0.4082,facebook
2025-11-17,1592,45,0.3535,direct
2025-11-17,800,26,0.4783,email
2025-11-17,560,16,0.4787,linkedin
2025-11-18,1641,54,0.4308,google
2025-11-18,849,20,0.3861,facebook
2025-11-18,2130,65,0.45,direct
2025-11-18,553,23,0.4366,email
2025-11-18,704,18,0.4453,linkedin
2025-11-19,2772,102,0.4065,google
2025-11-19,1167,52,0.4169,facebook
2025-11-19,2060,94,0.3905,direct
2025-11-19,731,15,0.4115,email
2025-11-19,719,19,0.5354,linkedin
2025-11-20,2375,101,0.3549,google
2025-11-20,1537,57,0.3669,facebook
2025-11-20,1842,40,0.5231,direct
2025-11-20,845,36,0.3532,email
2025-11-20,850,41,0.527,linkedin
2025-11-21,2779,83,0.3627,google
2025-11-21,825,17,0.4729,facebook
2025-11-21,1940,74,0.4184,direct
2025-11-21,731,27,0.4547,email
2025-11-21,711,14,0.5341,linkedin
2025-11-22,2453,113,0.4214,google
2025-11-22,1057,24,0.4285,facebook
2025-11-22,1231,34,0.3786,direct
2025-11-22,874,38,0.3684,email
2025-11-22,510,11,0.3899,linkedin
2025-11-23,1935,69,0.4355,google
2025-11-23,1068,53,0.3817,facebook
2025-11-23,1347,46,0.3946,direct
2025-11-23,805,23,0.5218,email
2025-11-23,960,27,0.3841,linkedin
2025-11-24,1817,58,0.4679,google
2025-11-24,876,41,0.3963,facebook
2025-11-24,1410,47,0.4529,direct
2025-11-24,963,44,0.4143,email
2025-11-24,996,25,0.4717,linkedin
2025-11-25,2146,83,0.3742,google
2025-11-25,1270,36,0.5083,facebook
2025-11-25,1341,66,0.3601,direct
2025-11-25,571,20,0.4299,email
2025-11-25,562,15,0.5128,linkedin
