event_id,timestamp,event_type,severity,source_system,action_taken,username,source_ip,destination_ip,risk_score,status,details,date,hour
EVT-000017,2025-12-09T07:17:56.982152,suspicious_activity,info,ids,blocked,user_7305,14.204.61.215,5.65.127.42,8,resolved,"{""protocol"": ""UDP"", ""port"": 3306, ""bytes_transferred"": 5871}",2025-12-09,7
EVT-000018,2025-12-08T01:33:35.982152,ids_alert,medium,firewall,alerted,user_5103,131.40.11.211,92.124.190.113,19,investigating,"{""protocol"": ""UDP"", ""port"": 443, ""bytes_transferred"": 962887}",2025-12-08,1
EVT-000019,2025-12-09T08:06:39.982152,data_exfiltration_attempt,medium,firewall,blocked,user_7578,192.168.164.187,75.124.173.242,48,open,"{""protocol"": ""HTTP"", ""port"": 1433, ""bytes_transferred"": 589792}",2025-12-09,8
EVT-000020,2025-12-07T13:02:52.982152,suspicious_activity,critical,ids,allowed,user_6156,192.168.188.101,165.226.80.61,91,investigating,"{""protocol"": ""HTTP"", ""port"": 3306, ""bytes_transferred"": 673593}",2025-12-07,13
,2025-12-05T19:00:21.982152,network_connection,high,email_gateway,blocked,user_6111,192.168.154.81,113.241.175.31,89,open,"{""protocol"": ""ICMP"", ""port"": 80, ""bytes_transferred"": 724254}",2025-12-05,19
EVT-000022,2025-12-10T03:46:44.982152,vulnerability_scan,info,email_gateway,logged,user_8396,192.168.120.194,17.248.3.98,9,false_positive,"{""protocol"": ""HTTP"", ""port"": 3389, ""bytes_transferred"": 236377}",2025-12-10,3
EVT-000023,2025-12-10T15:50:10.982152,network_connection,critical,endpoint_protection,blocked,user_3014,192.168.33.95,95.121.128.11,95,investigating,"{""protocol"": ""UDP"", ""port"": 22, ""bytes_transferred"": 100293}",2025-12-10,15
EVT-000024,2025-12-12T13:44:51.982152,file_access,medium,authentication_server,alerted,kelsey68@example.org,161.232.252.183,2.81.247.166,43,resolved,"{""protocol"": ""ICMP"", ""port"": 80, ""bytes_transferred"": 267506}",2025-12-12,13
EVT-000025,2025-12-08T00:11:19.982152,vulnerability_scan,medium,web_gateway,quarantined,user_1772,149.121.190.150,114.157.223.76,47,open,"{""protocol"": ""UDP"", ""port"": 8080, ""bytes_transferred"": 777133}",2025-12-08,0
EVT-000026,2025-12-10T04:56:01.982152,suspicious_activity,info,database_audit,allowed,user_3529,192.168.133.37,106.102.253.245,1,open,"{""protocol"": ""TCP"", ""port"": 443, ""bytes_transferred"": 784103}",2025-12-10,4
EVT-000027,2025-12-09T23:56:24.982152,network_connection,high,email_gateway,blocked,user_7648,208.27.75.80,111.239.227.105,87,false_positive,"{""protocol"": ""HTTP"", ""port"": 1433, ""bytes_transferred"": 177819}",2025-12-09,23
EVT-000028,2025-12-07T06:32:47.982152,ids_alert,high,dlp_system,logged,user_5188,19.17.100.210,,82,false_positive,"{""protocol"": ""HTTPS"", ""port"": 443, ""bytes_transferred"": 746018}",2025-12-07,6
EVT-000029,2025-12-07T16:18:23.982152,malware_detected,info,endpoint_protection,allowed,user_2786,192.168.106.39,123.63.197.88,1,resolved,"{""protocol"": ""TCP"", ""port"": 3389, ""bytes_transferred"": 667360}",2025-12-07,16
EVT-000030,2025-12-07T18:11:27.982152,ids_alert,critical,database_audit,blocked,user_2961,192.168.170.102,93.126.209.5,93,,"{""protocol"": ""HTTPS"", ""port"": 8080, ""bytes_transferred"": 276128}",2025-12-07,18
EVT-000031,2025-12-10T21:02:08.982152,malware_detected,low,network_monitor,allowed,user_4606,192.168.90.45,47.145.179.7,38,investigating,"{""protocol"": ""UDP"", ""port"": 8080, ""bytes_transferred"": 80764}",2025-12-10,21
EVT-000032,2026-02-03T14:50:04.020574,login_failure,critical,firewall,quarantined,user_9734,85.38.90.57,106.216.123.171,99,open,"{""protocol"": ""TCP"", ""port"": 3389, ""bytes_transferred"": 637943}",2026-02-03,14
EVT-000033,2025-12-11T00:02:52.982152,login_success,critical,database_audit,blocked,user_8693,192.168.37.163,107.251.169.29,96,false_positive,"{""protocol"": ""HTTP"", ""port"": 8080, ""bytes_transferred"": 260595}",2025-12-11,0
EVT-000034,2025-12-10T08:29:05.982152,login_attempt,low,authentication_server,allowed,user_8831,192.168.230.95,203.234.227.104,51,resolved,"{""protocol"": ""ICMP"", ""port"": 22, ""bytes_transferred"": 551570}",2025-12-10,8
EVT-000035,2025-12-08T20:56:26.982152,suspicious_activity,critical,endpoint_protection,allowed,user_4826,192.168.49.187,36.85.75.119,97,resolved,"{""protocol"": ""TCP"", ""port"": 80, ""bytes_transferred"": 617381}",2025-12-08,20
EVT-000036,2025-12-06T06:32:26.982152,login_failure,critical,authentication_server,alerted,omanning@example.net,192.168.119.170,136.164.67.13,98,investigating,"{""protocol"": ""TCP"", ""port"": 8080, ""bytes_transferred"": 798031}",2025-12-06,6
EVT-000037,2025-12-10T22:38:20.982152,firewall_block,low,firewall,quarantined,user_6353,192.168.106.144,11.187.90.40,23,investigating,"{""protocol"": ""ICMP"", ""port"": 3306, ""bytes_transferred"": 338839}",2025-12-10,22
EVT-000038,2025-12-06T16:45:21.982152,network_connection,medium,dlp_system,quarantined,user_8907,192.168.248.142,50.181.33.12,45,open,"{""protocol"": ""HTTPS"", ""port"": 443, ""bytes_transferred"": 726011}",2025-12-06,16
EVT-000039,2025-12-11T02:10:11.982152,vulnerability_scan,info,web_gateway,alerted,user_4971,192.168.118.82,67.201.249.122,0,false_positive,"{""protocol"": ""HTTP"", ""port"": 1433, ""bytes_transferred"": 101899}",2025-12-11,2
EVT-000040,2025-12-08T13:33:20.982152,ids_alert,critical,endpoint_protection,quarantined,user_1003,160.180.99.78,,92,resolved,"{""protocol"": ""HTTP"", ""port"": 1433, ""bytes_transferred"": 678085}",2025-12-08,13
EVT-000041,2025-12-07T23:08:59.982152,malware_detected,critical,web_gateway,blocked,user_4797,192.168.114.189,38.226.94.34,97,false_positive,"{""protocol"": ""TCP"", ""port"": 3306, ""bytes_transferred"": 878504}",2025-12-07,23
EVT-000042,2025-12-09T12:40:09.982152,login_attempt,critical,endpoint_protection,blocked,user_2970,192.168.112.149,132.89.91.182,98,false_positive,"{""protocol"": ""ICMP"", ""port"": 8080, ""bytes_transferred"": 685248}",2025-12-09,12
EVT-000043,2025-12-07T13:20:09.982152,ids_alert,high,dlp_system,quarantined,user_3036,192.168.71.37,104.144.179.89,88,false_positive,"{""protocol"": ""UDP"", ""port"": 1433, ""bytes_transferred"": 897624}",2025-12-07,13
EVT-000044,2025-12-05T14:56:22.982152,network_connection,info,dlp_system,allowed,user_4980,187.204.69.37,60.191.56.211,5,false_positive,"{""protocol"": ""UDP"", ""port"": 8080, ""bytes_transferred"": 229400}",2025-12-05,14
EVT-000045,2025-12-11T21:42:51.982152,login_success,info,ids,quarantined,user_7975,192.168.84.133,147.245.84.48,3,resolved,"{""protocol"": ""HTTPS"", ""port"": 22, ""bytes_transferred"": 581905}",2025-12-11,21
EVT-000046,2025-12-07T23:14:14.982152,malware_detected,medium,endpoint_protection,alerted,user_3159,192.168.58.115,191.95.123.55,55,resolved,"{""protocol"": ""HTTP"", ""port"": 3306, ""bytes_transferred"": 930418}",2025-12-07,23
EVT-000047,2025-12-10T15:20:10.982152,login_failure,info,dlp_system,allowed,user_5505,192.168.175.81,92.132.6.143,4,investigating,"{""protocol"": ""HTTP"", ""port"": 22, ""bytes_transferred"": 946329}",2025-12-10,15
,2025-12-10T03:46:37.982152,login_failure,high,endpoint_protection,quarantined,user_9327,192.168.24.116,86.21.166.166,73,false_positive,"{""protocol"": ""TCP"", ""port"": 443, ""bytes_transferred"": 398984}",2025-12-10,3
EVT-000049,2025-12-07T15:42:06.982152,login_attempt,high,authentication_server,allowed,user_5073,192.168.178.180,64.33.87.154,89,false_positive,"{""protocol"": ""UDP"", ""port"": 3306, ""bytes_transferred"": 660746}",2025-12-07,15
EVT-000050,2025-12-10T05:16:04.982152,vulnerability_scan,medium,ids,allowed,user_8464,198.149.72.226,,46,open,"{""protocol"": ""ICMP"", ""port"": 443, ""bytes_transferred"": 785707}",2025-12-10,5
EVT-000051,2025-12-11T11:55:00.982152,login_attempt,info,ids,allowed,user_2551,192.168.194.73,76.7.98.161,1,resolved,"{""protocol"": ""ICMP"", ""port"": 3306, ""bytes_transferred"": 456667}",2025-12-11,11
EVT-000052,2025-12-05T15:52:34.982152,firewall_block,info,authentication_server,allowed,user_4222,192.168.169.24,223.178.103.185,5,,"{""protocol"": ""ICMP"", ""port"": 8080, ""bytes_transferred"": 959009}",2025-12-05,15
EVT-000053,2025-12-09T02:50:12.982152,vulnerability_scan,high,ids,allowed,user_9546,107.86.60.26,218.22.251.72,86,false_positive,"{""protocol"": ""HTTP"", ""port"": 22, ""bytes_transferred"": 404638}",2025-12-09,2
EVT-000054,2025-12-06T18:18:27.982152,login_success,critical,web_gateway,blocked,tjones@example.com,192.168.64.51,160.165.176.56,91,false_positive,"{""protocol"": ""ICMP"", ""port"": 3306, ""bytes_transferred"": 334837}",2025-12-06,18
EVT-000055,2025-12-12T06:06:41.982152,malware_detected,high,database_audit,allowed,user_7948,192.168.150.80,42.70.15.178,86,false_positive,"{""protocol"": ""HTTP"", ""port"": 8080, ""bytes_transferred"": 384077}",2025-12-12,6
EVT-000056,2025-12-09T15:28:19.982152,login_success,medium,email_gateway,logged,user_3238,192.168.170.179,83.157.229.153,48,false_positive,"{""protocol"": ""HTTP"", ""port"": 3306, ""bytes_transferred"": 947914}",2025-12-09,15
EVT-000057,2026-09-12T14:50:04.026206,data_exfiltration_attempt,medium,database_audit,quarantined,user_3767,97.155.116.58,71.70.80.44,51,false_positive,"{""protocol"": ""ICMP"", ""port"": 8080, ""bytes_transferred"": 122999}",2026-09-12,14
EVT-000058,2025-12-10T23:53:45.982152,ids_alert,info,authentication_server,allowed,user_1445,192.168.179.224,200.32.72.100,4,resolved,"{""protocol"": ""TCP"", ""port"": 80, ""bytes_transferred"": 891568}",2025-12-10,23
EVT-000059,2025-12-07T12:12:28.982152,login_success,medium,ids,allowed,user_3099,192.168.14.251,165.116.216.129,63,resolved,"{""protocol"": ""HTTPS"", ""port"": 80, ""bytes_transferred"": 359591}",2025-12-07,12
EVT-000060,2025-12-09T04:56:30.982152,suspicious_activity,high,network_monitor,quarantined,user_7991,192.168.122.41,34.156.170.139,87,resolved,"{""protocol"": ""TCP"", ""port"": 3306, ""bytes_transferred"": 420860}",2025-12-09,4
EVT-000061,2025-12-08T16:00:02.982152,firewall_block,medium,email_gateway,allowed,user_8166,192.168.41.12,119.193.19.48,50,false_positive,"{""protocol"": ""TCP"", ""port"": 8080, ""bytes_transferred"": 671275}",2025-12-08,16
EVT-000062,2025-12-08T20:31:22.982152,firewall_block,low,dlp_system,quarantined,user_7694,192.168.18.241,107.76.212.252,26,investigating,"{""protocol"": ""HTTPS"", ""port"": 8080, ""bytes_transferred"": 116998}",2025-12-08,20
EVT-000063,2025-12-08T17:45:15.982152,ids_alert,high,authentication_server,blocked,ashley52@example.net,133.223.161.19,77.68.219.208,88,open,"{""protocol"": ""UDP"", ""port"": 3389, ""bytes_transferred"": 752591}",2025-12-08,17
EVT-000064,2025-12-07T16:52:49.982152,vulnerability_scan,high,email_gateway,logged,user_6431,192.168.143.182,7.71.245.132,86,open,"{""protocol"": ""UDP"", ""port"": 3306, ""bytes_transferred"": 578418}",2025-12-07,16
EVT-000065,2025-12-08T22:51:38.982152,suspicious_activity,medium,email_gateway,quarantined,user_7469,192.168.54.60,192.80.62.80,69,investigating,"{""protocol"": ""TCP"", ""port"": 1433, ""bytes_transferred"": 960116}",2025-12-08,22
EVT-000066,2025-12-06T04:55:01.982152,vulnerability_scan,critical,web_gateway,allowed,user_9564,192.168.114.131,,91,open,"{""protocol"": ""UDP"", ""port"": 3389, ""bytes_transferred"": 50026}",2025-12-06,4
EVT-000067,2025-12-08T19:08:19.982152,network_connection,critical,authentication_server,allowed,user_4456,192.168.32.223,180.217.236.38,96,investigating,"{""protocol"": ""HTTP"", ""port"": 8080, ""bytes_transferred"": 716869}",2025-12-08,19
EVT-000068,2025-12-06T07:16:52.982152,firewall_block,info,network_monitor,allowed,user_6127,192.168.194.146,148.210.171.86,4,open,"{""protocol"": ""TCP"", ""port"": 3389, ""bytes_transferred"": 911593}",2025-12-06,7
EVT-000069,2025-12-11T16:31:44.982152,data_exfiltration_attempt,info,email_gateway,blocked,user_2361,194.167.163.232,30.17.81.162,7,resolved,"{""protocol"": ""UDP"", ""port"": 22, ""bytes_transferred"": 664947}",2025-12-11,16
EVT-000070,2025-12-09T04:21:14.982152,network_connection,high,ids,blocked,user_5583,192.168.38.194,65.192.36.222,83,false_positive,"{""protocol"": ""UDP"", ""port"": 443, ""bytes_transferred"": 587542}",2025-12-09,4
EVT-000071,2025-12-05T19:30:34.982152,login_attempt,critical,database_audit,quarantined,user_7741,192.168.11.209,219.80.25.2,99,open,"{""protocol"": ""UDP"", ""port"": 3306, ""bytes_transferred"": 617742}",2025-12-05,19
EVT-000072,2025-12-09T15:35:53.982152,login_success,critical,email_gateway,allowed,user_4155,192.168.80.247,129.23.40.219,96,investigating,"{""protocol"": ""HTTP"", ""port"": 22, ""bytes_transferred"": 571606}",2025-12-09,15
EVT-000073,2025-12-08T12:19:17.982152,firewall_block,low,endpoint_protection,blocked,user_4655,192.168.156.238,,14,open,"{""protocol"": ""UDP"", ""port"": 3389, ""bytes_transferred"": 930578}",2025-12-08,12
EVT-000074,2025-12-09T23:10:33.982152,login_failure,high,web_gateway,alerted,user_8979,192.168.233.10,60.2.89.0,75,resolved,"{""protocol"": ""ICMP"", ""port"": 1433, ""bytes_transferred"": 280280}",2025-12-09,23
EVT-000075,2025-12-09T15:45:02.982152,login_failure,high,web_gateway,alerted,user_5645,110.59.77.50,162.1.226.128,82,open,"{""protocol"": ""ICMP"", ""port"": 8080, ""bytes_transferred"": 178633}",2025-12-09,15
EVT-000076,2025-12-10T15:51:35.982152,privilege_escalation,low,dlp_system,quarantined,user_1114,192.168.188.16,35.161.71.254,12,resolved,"{""protocol"": ""ICMP"", ""port"": 80, ""bytes_transferred"": 923962}",2025-12-10,15
EVT-000077,2025-12-07T02:07:02.982152,login_failure,high,network_monitor,logged,user_3400,211.204.94.15,75.36.175.112,87,investigating,"{""protocol"": ""TCP"", ""port"": 22, ""bytes_transferred"": 386039}",2025-12-07,2
EVT-000078,2025-12-08T05:13:59.982152,firewall_block,critical,network_monitor,quarantined,user_3052,192.168.76.235,67.71.26.151,95,open,"{""protocol"": ""UDP"", ""port"": 3389, ""bytes_transferred"": 643458}",2025-12-08,5
EVT-000079,2025-12-06T14:58:58.982152,malware_detected,medium,web_gateway,allowed,user_9152,192.168.101.252,45.218.251.18,56,investigating,"{""protocol"": ""TCP"", ""port"": 443, ""bytes_transferred"": 833485}",2025-12-06,14
EVT-000080,2025-12-09T23:50:30.982152,file_access,info,database_audit,allowed,user_2890,192.168.71.25,15.93.252.191,3,resolved,"{""protocol"": ""UDP"", ""port"": 1433, ""bytes_transferred"": 622866}",2025-12-09,23
EVT-000081,2025-12-06T02:04:44.982152,file_access,info,ids,quarantined,user_8900,192.168.182.121,17.226.111.199,0,open,"{""protocol"": ""TCP"", ""port"": 443, ""bytes_transferred"": 488171}",2025-12-06,2
EVT-000082,2025-12-08T14:54:55.982152,suspicious_activity,medium,web_gateway,alerted,user_9200,192.168.19.132,46.55.48.71,53,open,"{""protocol"": ""TCP"", ""port"": 22, ""bytes_transferred"": 370310}",2025-12-08,14
EVT-000083,2025-12-12T00:35:38.982152,login_failure,critical,email_gateway,alerted,user_9182,192.168.119.244,42.96.87.246,92,resolved,"{""protocol"": ""HTTPS"", ""port"": 22, ""bytes_transferred"": 409692}",2025-12-12,0
EVT-000084,2025-12-10T20:13:40.982152,malware_detected,critical,network_monitor,alerted,user_8164,183.187.239.119,198.63.139.140,97,investigating,"{""protocol"": ""HTTP"", ""port"": 80, ""bytes_transferred"": 65356}",2025-12-10,20
EVT-000085,2025-12-09T16:31:32.982152,malware_detected,critical,firewall,allowed,user_6159,192.168.160.12,214.171.198.180,99,investigating,"{""protocol"": ""UDP"", ""port"": 443, ""bytes_transferred"": 316894}",2025-12-09,16
EVT-000086,2025-12-10T21:02:15.982152,vulnerability_scan,low,ids,quarantined,user_6177,192.168.115.62,2.219.3.22,34,false_positive,"{""protocol"": ""TCP"", ""port"": 1433, ""bytes_transferred"": 384340}",2025-12-10,21
EVT-000087,2025-12-06T02:20:21.982152,file_access,critical,ids,logged,user_9859,61.38.28.121,168.7.102.48,97,resolved,"{""protocol"": ""TCP"", ""port"": 80, ""bytes_transferred"": 518441}",2025-12-06,2
EVT-000088,2025-12-08T22:39:24.982152,login_attempt,critical,email_gateway,alerted,user_4151,192.168.243.215,132.175.132.16,99,investigating,"{""protocol"": ""HTTPS"", ""port"": 8080, ""bytes_transferred"": 823022}",2025-12-08,22
EVT-000089,2025-12-09T10:51:40.982152,login_attempt,high,email_gateway,logged,user_6981,192.168.143.247,161.29.177.23,78,false_positive,"{""protocol"": ""HTTPS"", ""port"": 8080, ""bytes_transferred"": 508726}",2025-12-09,10
EVT-000090,2025-12-05T21:34:44.982152,firewall_block,info,network_monitor,quarantined,user_5222,192.168.225.188,2.125.62.211,4,investigating,"{""protocol"": ""UDP"", ""port"": 3306, ""bytes_transferred"": 568005}",2025-12-05,21
EVT-000091,2025-12-07T16:56:15.982152,data_exfiltration_attempt,low,endpoint_protection,alerted,user_1742,192.168.61.196,79.21.245.173,31,false_positive,"{""protocol"": ""HTTP"", ""port"": 443, ""bytes_transferred"": 731750}",2025-12-07,16
EVT-000092,2025-12-10T10:51:10.982152,suspicious_activity,high,authentication_server,allowed,user_6054,192.168.223.95,100.199.18.84,84,open,"{""protocol"": ""UDP"", ""port"": 8080, ""bytes_transferred"": 214983}",2025-12-10,10
EVT-000093,2025-12-10T09:12:49.982152,login_success,medium,ids,allowed,user_2661,192.168.129.226,117.236.5.51,52,false_positive,"{""protocol"": ""TCP"", ""port"": 443, ""bytes_transferred"": 617804}",2025-12-10,9
EVT-000094,2025-12-07T10:24:27.982152,ids_alert,medium,network_monitor,quarantined,user_1684,202.206.157.159,3.205.106.130,44,resolved,"{""protocol"": ""TCP"", ""port"": 8080, ""bytes_transferred"": 2983}",2025-12-07,10
EVT-000095,2025-12-07T06:51:12.982152,login_failure,medium,ids,quarantined,user_5685,208.246.207.159,13.227.62.132,40,open,"{""protocol"": ""TCP"", ""port"": 3306, ""bytes_transferred"": 763543}",2025-12-07,6
EVT-000096,2025-12-06T22:14:54.982152,login_attempt,critical,network_monitor,quarantined,user_3976,113.81.149.198,39.27.20.142,94,open,"{""protocol"": ""HTTPS"", ""port"": 1433, ""bytes_transferred"": 474229}",2025-12-06,22
EVT-000097,2025-12-11T06:32:18.982152,login_success,info,dlp_system,quarantined,user_7567,147.112.37.47,39.249.142.80,2,resolved,"{""protocol"": ""HTTP"", ""port"": 443, ""bytes_transferred"": 330535}",2025-12-11,6
EVT-000098,2025-12-07T10:34:26.982152,malware_detected,high,dlp_system,logged,user_8196,88.161.75.9,121.104.116.168,88,open,"{""protocol"": ""HTTP"", ""port"": 22, ""bytes_transferred"": 419485}",2025-12-07,10
EVT-000099,2025-12-11T15:39:44.982152,file_access,medium,ids,quarantined,user_4241,216.215.77.244,94.173.27.42,58,resolved,"{""protocol"": ""TCP"", ""port"": 22, ""bytes_transferred"": 76334}",2025-12-11,15
EVT-000100,2025-12-10T16:50:26.982152,network_connection,info,dlp_system,alerted,user_1980,182.115.169.217,164.213.222.45,3,resolved,"{""protocol"": ""HTTPS"", ""port"": 22, ""bytes_transferred"": 28594}",2025-12-10,16
EVT-000101,2025-12-08T04:27:26.982152,privilege_escalation,high,dlp_system,alerted,user_2568,192.168.236.190,89.115.232.108,85,resolved,"{""protocol"": ""HTTPS"", ""port"": 1433, ""bytes_transferred"": 719796}",2025-12-08,4
EVT-000102,2025-12-12T00:41:08.982152,vulnerability_scan,high,network_monitor,blocked,user_9114,144.7.0.43,115.67.179.53,81,open,"{""protocol"": ""ICMP"", ""port"": 443, ""bytes_transferred"": 118400}",2025-12-12,0
EVT-000103,2025-12-09T04:10:42.982152,login_attempt,medium,email_gateway,allowed,user_5769,192.168.207.240,112.23.245.180,54,investigating,"{""protocol"": ""ICMP"", ""port"": 80, ""bytes_transferred"": 36965}",2025-12-09,4
EVT-000104,2025-12-10T06:15:08.982152,malware_detected,critical,ids,logged,user_6992,192.168.55.8,72.136.28.99,98,false_positive,"{""protocol"": ""HTTPS"", ""port"": 3306, ""bytes_transferred"": 543537}",2025-12-10,6
EVT-000105,2025-12-08T03:20:11.982152,network_connection,high,database_audit,logged,user_3459,147.157.209.150,8.118.195.163,73,open,"{""protocol"": ""TCP"", ""port"": 8080, ""bytes_transferred"": 490210}",2025-12-08,3
EVT-000106,2025-12-06T09:21:17.982152,privilege_escalation,info,endpoint_protection,alerted,user_8626,192.168.205.83,101.201.97.121,6,investigating,"{""protocol"": ""ICMP"", ""port"": 80, ""bytes_transferred"": 272180}",2025-12-06,9
EVT-000107,2025-12-12T13:16:03.982152,malware_detected,low,web_gateway,alerted,user_7675,192.168.179.220,220.217.113.153,10,false_positive,"{""protocol"": ""HTTP"", ""port"": 1433, ""bytes_transferred"": 751995}",2025-12-12,13
EVT-000108,2025-12-10T02:08:02.982152,vulnerability_scan,low,firewall,alerted,rduncan@example.net,192.168.34.143,126.37.113.247,16,investigating,"{""protocol"": ""UDP"", ""port"": 1433, ""bytes_transferred"": 118022}",2025-12-10,2
EVT-000109,2025-12-09T21:49:48.982152,login_failure,low,network_monitor,blocked,user_4550,192.168.253.110,158.226.13.244,17,open,"{""protocol"": ""ICMP"", ""port"": 1433, ""bytes_transferred"": 996367}",2025-12-09,21
EVT-000110,2025-12-06T07:49:42.982152,network_connection,info,network_monitor,logged,user_3570,221.129.2.43,70.75.1.138,0,open,"{""protocol"": ""HTTP"", ""port"": 80, ""bytes_transferred"": 891629}",2025-12-06,7
EVT-000111,2025-12-10T17:43:48.982152,login_success,info,web_gateway,logged,user_1286,192.168.84.243,,6,open,"{""protocol"": ""UDP"", ""port"": 1433, ""bytes_transferred"": 750630}",2025-12-10,17
EVT-000112,2025-12-11T08:32:05.982152,firewall_block,info,network_monitor,quarantined,user_4843,192.168.129.96,,89,,"{""protocol"": ""TCP"", ""port"": 3306, ""bytes_transferred"": 813546}",2025-12-11,8
EVT-000113,2025-12-10T18:40:07.982152,file_access,info,firewall,logged,user_3884,192.168.106.55,179.208.196.152,9,false_positive,"{""protocol"": ""UDP"", ""port"": 22, ""bytes_transferred"": 517087}",2025-12-10,18
EVT-000114,2025-12-08T17:24:56.982152,ids_alert,info,database_audit,logged,user_8392,192.168.230.24,122.132.138.3,7,resolved,"{""protocol"": ""HTTP"", ""port"": 22, ""bytes_transferred"": 51762}",2025-12-08,17
EVT-000115,2025-12-08T18:32:42.982152,file_access,info,email_gateway,allowed,user_2034,192.168.122.202,220.142.69.130,0,resolved,"{""protocol"": ""HTTPS"", ""port"": 1433, ""bytes_transferred"": 931636}",2025-12-08,18
EVT-000116,2025-12-05T21:23:22.982152,data_exfiltration_attempt,low,firewall,logged,user_2379,152.241.214.104,135.193.69.129,27,open,"{""protocol"": ""ICMP"", ""port"": 80, ""bytes_transferred"": 979793}",2025-12-05,21
EVT-000117,2025-12-05T22:58:03.982152,file_access,medium,authentication_server,allowed,user_4688,192.168.115.78,183.91.36.40,51,false_positive,"{""protocol"": ""TCP"", ""port"": 22, ""bytes_transferred"": 789432}",2025-12-05,22
EVT-000118,2025-12-10T02:46:23.982152,suspicious_activity,info,authentication_server,alerted,user_4162,222.174.226.147,104.58.170.113,7,resolved,"{""protocol"": ""HTTP"", ""port"": 8080, ""bytes_transferred"": 116609}",2025-12-10,2
