date,sessions,conversions,bounce_rate,source
2025-11-19,946,20,0.511,linkedin
2025-11-20,2422,70,0.4736,google
2025-11-20,1150,42,0.3938,facebook
2025-11-20,1645,60,0.4881,direct
2025-11-20,625,20,0.3947,email
2025-11-20,709,35,0.3926,linkedin
2025-11-21,1524,60,0.3923,google
2025-11-21,1363,46,0.4998,facebook
2025-11-21,1510,61,0.4276,direct
2025-11-21,599,29,0.5452,email
2025-11-21,973,40,0.5209,linkedin
2025-11-22,2430,102,0.3597,google
2025-11-22,1089,52,0.5312,facebook
2025-11-22,2053,58,0.5227,direct
2025-11-22,852,30,0.4071,email
2025-11-22,725,20,0.5082,linkedin
2025-11-23,1865,81,0.4815,google
2025-11-23,1595,68,0.355,facebook
2025-11-23,2289,48,0.36,direct
2025-11-23,555,11,0.5473,email
2025-11-23,855,38,0.426,linkedin
2025-11-24,2696,91,0.4028,google
2025-11-24,1577,43,0.483,facebook
2025-11-24,1751,49,0.3768,direct
2025-11-24,520,15,0.5327,email
2025-11-24,928,27,0.4205,linkedin
2025-11-25,2907,84,0.48,google
2025-11-25,1303,37,0.3567,facebook
2025-11-25,2178,53,0.5242,direct
2025-11-25,900,38,0.4101,email
2025-11-25,836,28,0.4137,linkedin
