date,campaign_name,spend,clicks,impressions,conversions
2025-11-11,Black Friday Special,355.56,507,16046,36
2025-11-12,Brand Campaign,441.98,451,14239,32
2025-11-12,Product Launch,488.57,359,17260,15
2025-11-12,Retargeting,555.76,468,21556,24
2025-11-12,Black Friday Special,701.89,600,15466,29
2025-11-13,Brand Campaign,415.94,346,13329,15
2025-11-13,Product Launch,400.35,518,20577,23
2025-11-13,Retargeting,719.72,580,18363,22
2025-11-13,Black Friday Special,681.67,863,24625,58
2025-11-14,Brand Campaign,349.17,375,10289,15
2025-11-14,Product Launch,348.72,646,24044,39
2025-11-14,Retargeting,494.82,476,14600,25
2025-11-14,Black Friday Special,371.35,286,12235,16
2025-11-15,Brand Campaign,702.56,471,12208,32
2025-11-15,Product Launch,543.86,389,17383,13
2025-11-15,Retargeting,490.35,682,23136,52
2025-11-15,Black Friday Special,412.15,852,21782,67
2025-11-16,Brand Campaign,784.38,491,17113,18
2025-11-16,Product Launch,430.35,551,19249,36
2025-11-16,Retargeting,420.9,567,14575,42
2025-11-16,Black Friday Special,518.51,523,17550,27
2025-11-17,Brand Campaign,428.16,392,12162,12
2025-11-17,Product Launch,408.97,538,16981,22
2025-11-17,Retargeting,535.0,515,20150,21
2025-11-17,Black Friday Special,445.06,529,23967,25
2025-11-18,Brand Campaign,511.9,521,15412,38
2025-11-18,Product Launch,525.94,477,23768,17
2025-11-18,Retargeting,485.06,656,21823,34
2025-11-18,Black Friday Special,772.59,738,21322,56
2025-11-19,Brand Campaign,690.03,235,11575,10
2025-11-19,Product Launch,538.29,456,18279,35
2025-11-19,Retargeting,781.15,415,15894,30
2025-11-19,Black Friday Special,615.24,501,20358,23
2025-11-20,Brand Campaign,477.77,557,14924,27
2025-11-20,Product Launch,576.94,816,22556,62
2025-11-20,Retargeting,438.4,742,24401,34
2025-11-20,Black Friday Special,686.08,287,13602,10
2025-11-21,Brand Campaign,464.09,768,20104,53
2025-11-21,Product Launch,637.72,562,22711,27
2025-11-21,Retargeting,404.5,510,19968,38
2025-11-21,Black Friday Special,735.84,766,24389,24
2025-11-22,Brand Campaign,391.9,724,20068,52
2025-11-22,Product Launch,774.85,769,24120,55
2025-11-22,Retargeting,722.21,513,17696,37
2025-11-22,Black Friday Special,540.66,685,23477,28
2025-11-23,Brand Campaign,423.19,373,12811,12
2025-11-23,Product Launch,640.7,275,11863,10
2025-11-23,Retargeting,736.51,955,24256,46
2025-11-23,Black Friday Special,799.58,581,24076,30
2025-11-24,Brand Campaign,668.12,387,15942,25
2025-11-24,Product Launch,410.49,503,17901,27
2025-11-24,Retargeting,461.01,611,23363,33
2025-11-24,Black Friday Special,707.94,496,19278,27
2025-11-25,Brand Campaign,518.56,312,11059,22
2025-11-25,Product Launch,410.7,305,10774,23
2025-11-25,Retargeting,433.12,702,22339,30
2025-11-25,Black Friday Special,491.07,553,18272,19
